Document Number,Accounting Document Number,Company Code,Invoice Status,Activity,Actual Role,Actual Agent,Start Date & Time,End Date & Time,Work Item ID,Process Type Number,Process Type Text
000007067583,5101150051,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DOBRUCKINISV,2025-09-18 11:03:30,2025-09-18 11:03:30,000196801389,854,QH - Service Entry Required (PO)
000008603786,5101151074,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DOBRUCKINISV,2025-09-19 13:56:58,2025-09-19 13:56:58,000196998081,899,QH - Tolerance exceeded (PO)
000008662299,5101151078,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DOBRUCKINISV,2025-09-19 13:59:26,2025-09-19 13:59:26,000196998082,854,QH - Service Entry Required (PO)
000008741887,5101148938,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,WISEMANCH,2025-09-17 09:27:33,2025-09-17 09:27:33,000196657984,899,QH - Tolerance exceeded (PO)
000008977845,5101141277,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,POOLEDA,2025-09-04 10:56:13,2025-09-04 10:56:13,000195498471,854,QH - Service Entry Required (PO)
000008988748,5101048953,2100,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,BROCKMANV,2025-09-08 13:47:16,2025-09-08 13:47:16,000195822383,899,QH - Tolerance exceeded (PO)
000009039139,5101150344,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,CAMPBELLCHER,2025-09-18 15:40:34,2025-09-18 15:40:34,000196893275,854,QH - Service Entry Required (PO)
000009043211,5101148942,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ANDREWSJAD,2025-09-17 09:32:28,2025-09-17 09:32:28,000196684048,813,QH - Manual Check Lines and/or Balance (PO)
000009221667,5100520064,2600,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,NEILLEYC,2025-08-20 15:26:36,2025-08-20 15:26:36,000194040478,854,QH - Service Entry Required (PO)
000009405504,5100197707,3400,00,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,BRIGGSI,2025-08-22 08:10:12,2025-08-22 08:10:12,000194184031,854,QH - Service Entry Required (PO)
000009407341,5100358521,2800,00,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,HOLZBROO,2025-08-20 13:19:36,2025-08-20 13:19:36,000194015235,804,QH - Invalid Vendor (PO)
000009407343,5100358517,2800,00,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,HOLZBROO,2025-08-20 13:17:33,2025-08-20 13:17:33,000194015228,804,QH - Invalid Vendor (PO)
000009430755,5101144453,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,WISEMANCH,2025-09-09 16:00:55,2025-09-09 16:00:55,000195981729,813,QH - Manual Check Lines and/or Balance (PO)
000009444365,5100092761,2200,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,WALDONK,2025-09-30 14:48:05,2025-09-30 14:48:05,000197913024,854,QH - Service Entry Required (PO)
000009451949,5101145594,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,POOLEDA,2025-09-12 08:30:54,2025-09-12 08:31:04,000196165707,863,QH - GR Not Done - Simple Check (PO)
